itemset_id,candidate_items
18234,"[31432 34338 25194 13979 19204 12942 27447  7377 28955 42035   706 36689
 21265 40090   231 13708 33644 37284 36413   784 22347 16606 27897 27999
  8197 16326 38976  7876 34643 24947 40969 18589 38871 13707  4191 41045
 32842 40884 12820  7945  9574 25264  9628 38600 25860 41739 11280 24295
 26625 26324 36867 16926 33008 35430 12819 42089 10434 27596  8487 27761
 21114 16118 33642 14985 32102 14492 23968 16941 37752 33730  5106 21059
  6056  2568 31941 23507 11750 10810  7530 29189  1363 28867   494 30116
 41299 30028 23867 17187 33299 30085 29169     0 41034 19090 14230  7977
 21030 15430 37718 24332]"
11152,"[31432 34338 25194 19204 13979 27447 12942  7377 28955   706 42035 36689
  4191 40090 37284 36413 34643 13708 16606   231 21265 27897 10434   784
 33644  8487 40969 38976 38871  9574 13707 16941 22347 16926 27999 12820
 27596  1363 16326 41045 42089  7876 26625 35430 16118  8197 32842 19090
 18589 14985 14492 24947 25264  7945 40884  7530 26324 31941 17187 11280
 14230 12819 38600 33008 37752 33642 29189 27761 21114 23968  9628 35603
 23867 28867  8943  2568 29169 25860 30085 14536 24295 20422 13597 40395
 23507  8155 41739 13144 18481  6655 37718 32102 41299 36867  5106  1554
 33730 14190  8007 19547]"
18649,"[31432 34338 25194 19204 13979 27447  4191 28955 12942 36413  7377 34643
 37284 16606 16941 40090  9574 10434  1363  8487 16926   706 42035 36689
 27596 40969 16118 19090 13707 17187 42089 14190 25186  7530 13708 38939
 12820 14230  1554 14985 18481 14492 14536 27897 38871 35430  6655   784
 35603   291 38976 32842  8525 26324  8943 20422 22347 30085  4886 41045
 31941  8155 29189 40395 13597 39609  4986  7876 23832 28867 21506 41526
 39475 12819  8007   231 19353  2592 11280 21265 30788 21000  4851 19802
 23968 29169 22392 40884 26625 12648 37209  5553  7945 24115  8532 34759
 22118 13144 19547 33313]"
5651,"[31432 34338 25194 19204 13979 12942 28955 27447  7377  4191   706  8487
 19090 14190 34643 37284 27999 16606 42035 13707 16941 27897 40090 38871
 13708 14230  1363 27596 41045 10434 36689 40969  7530   231 38976 42089
 11280 16926  8155  7876 36413 21506 35603 14492 38939 30788 33644 16326
 17187 31941  1554 14536 13144  6655 22409 41526  8007 14985   291 23832
 25264  8943 39475   784 29169 30116 14084  9574  5553 23867 26324 29189
  9628  8532 26625 10810 36370 21011 13597 37752 33008 35358 35072 12819
 28620 25186 22347 15910 16118 41299 17715 12820  4986 31128 21265  4851
  1738  6056 18481 40884]"
25452,"[31432 34338 25194 19204 13979  7377 27447 12942 34643  4191 28955 16926
   706 10434 40090 36689 36413  8487 16606 16941 37284 42035 27596  9574
 12820 38871 27897 13708   231  1363   784 13707 19090 38976 14190 35430
 40969 38939 21265  6655 22347 16118 33644 42089 20422 27999 17187  8007
  8155 25264 31941 21506  8943 29189  7876 40395 16326  1554 41045 14492
 14536 28867  7530 32842 26324 24947 14230 18481 11280  8525  9628 23507
 23867  4986 13597 30788 37752 25860 29169 14084  7945 30085 23832 14985
  4851 23968 26625 13144 37718 38600 21114 25186 41526 35603 18589 33642
 40884 12819 27761  7587]"
7765,"[31432 34338 25194 19204 13979 27447 12942  7377 28955 16926 42035 34643
  4191   706  8487 36413 36689 37284 19090 14190 27596 27999   784   231
 33644 40090 10434 16606 12820 13708  7876 16941 38871 13707 27897 21265
  9574  1363  9628 16326 11280 32842 22347 38976 29189   291 40969 38939
 28867 16118 35430 41045 20422  8943 25264 39475  8007  7945 24947 14536
  8525  6655 30788 26324 42089 40884 14230 12819 25860 25186 41739 17187
 14492  8155 36867 21506 31941  8197 35603  7530 18481 29169 37752 28586
 26625 38600  1554 23867 36958 23507 18589 35072 14985 13144 30116 22409
 14713 14084 23968 41526]"
15632,"[34338 31432 25194 19204 13979  7377 27447 12942 16926 34643 28955 36689
   706 42035   231 40090   784 33644  8487 10434 12820 38871  4191 27999
 21265 27596 13708 27897 36413  9628 16606 19090 24947 14190 22347 16326
 16941 37284 25264 38976 13707  7876  9574 35430 25860 20422 23507  8007
 32842 16118 40969  8197  1363 28867 29189 11280 38600 38939  7945  6655
 36867 40884 41045  8943 31941 26324 18589 28586 21506 27761  5106 37752
  8155 30788 23867 11750 42089 29169  8525 40395 26625 41739 12819 24295
 21114 17187  7977 37718 36958 13144 33008 14084 23968  7587 10810 33642
 39475 14536  6711 14492]"
20385,"[31432 34338 25194 19204 13979 12942 28955 27447  7377  4191   706  8487
 19090 27999 37284 34643 42035 16606 40090 14190 13708 38871 36689 13707
 27897   231 41045 16941 14230 38976 40969 27596  1363 10434  7530  7876
 11280 42089 33644 36413 16326  8155 14492 16926 35603 30788 21506   784
 17187 31941 21265 25264  1554 13144  9628 23867 22409 22347 14985 30116
 26324 14536 41526 33008 38939  8943  6655 29169 26625  8007 14084 37752
  5553 10810 23832 36370   291 40884  9574 12820 13597 39475 28620 16118
 41299 38600 29189 12819 35358 15910 21011 17715  7945  6056 35430  1738
 11750 35072  8197  4851]"
14895,"[31432 25194 34338 19204 13979 27447 12942  7377 28955 36413 42035   706
 40090 36689 37284 21265  4191 34643 16606 13708  9574   784   231 22347
 10434 27897 33644 12820 40969 38976 18589 32842 16941 16118 35430  1363
 13707 16926 38871  8197 42089 16326 14985 40884  7945 26324 27596 23968
 41739 21114 24947 14492 17187 41045  7876 12819 30085 26625 28867  8487
 33642 25860 31941 33008 27761  7530  2568 32102 25264 40395 29189 36867
 19547 24295 18481 37752 38600 33730 23507 20422 12648  8943 27999 14536
     0  5106 21059 13597 37718 35603  4886 41034 29169 14230 11280 23867
  4851 22251 15774 37209]"
5296,"[31432 34338 25194 19204 13979 27447  7377 12942  4191 34643 28955 16926
 36413 10434 36689   706 40090  8487 16606 16941 37284 42035  9574 12820
 27596  1363   784 38871 13708 13707 27897   231 35430 19090 14190 16118
 38976 40969 21265 38939 22347  6655 20422 17187 33644  7876 32842 42089
  1554  8943  8007 29189 28867 14536 14492  8525 27999  8155 18481 21506
 31941 26324 40395 16326 25186 25264  7530 14230 41045 14985  7945 11280
 30085 24947  4986 12819 35603 40884 23968 30788 23507 18589 29169 13597
  4851 37752 25860 39475 23832 26625 37718 14084 41526 23867 21114  9628
 19547 19802 13144   291]"
25356,"[31432 34338 25194 19204 13979 27447  7377 12942 28955 34643  4191 16926
   706 36689 40090  8487 36413 42035 10434 16606 37284 16941 27596   231
 38871 13708   784 19090 12820 27897 13707  9574 27999  1363 38976 14190
 33644 40969 21265 22347 35430  7876 16326 16118 42089 38939 41045 25264
 17187 11280  6655 20422 29189  8007 32842 14492  8155  9628  8943 24947
 31941 14230 21506 14536 28867  7530 26324  1554  7945 40395 29169 40884
 30788 37752 18481 25860 23867 12819 23507  8525 26625 38600 33008 13144
 35603 39475  8197 18589 14985 27761  4986 14084  4851 13597 30085 25186
 23832 37718 23968 33642]"
17896,"[31432 34338 25194 19204 13979 27447  7377 16926 12942 42035 36689 34643
   784   231 33644 28955   706 12820 21265 40090 36413 27596 27999  9628
 13708 10434 38871  8487 22347 24947 27897 37284  7876 16326 32842 25860
  4191 35430 16606 19090 14190 25264  9574 13707 16941  8197 20422 23507
 36867 28867 38976  7945 16118 11280 40884 29189 28586 41739 18589  8007
 38600 26324 36958 24295  7977 27761 40969  5106  8525 38939 12819  8943
 11750 23968 39475  1363  6655 21114 41045 26625 37752 31941 37718 33815
 30788 40395 10810 14713 29169 14536 33642 23867  6056 33008 30085  6711
 24332 19547  4851  8155]"
22202,"[31432 34338 25194 19204 13979 27447  7377 16926 12942 34643 28955  4191
  8487 36689 10434   706 40090 27596 42035 12820 36413 38871 16941 14190
   231   784 19090 16606 27999 33644 27897 37284  9574 13707 38939 13708
 35430  9628  1363 38976 21265  8007  6655  7876 22347 20422 25264 16326
 24947 16118 40969 29189 21506  8943  8155 28867 25860 11280  8525 32842
 23507 31941 42089 30788 40395 17187 14536  1554  6711 41045 26324 38600
  7945  7587 14084 23867 29169 39475 14492  8532 37752 14230  4986 40884
 28586 18481 37718  4851 21011 13144 11750 12819 27761 36867 23832 25186
  7530 23968 22409  5106]"
10108,"[31432 34338 25194 19204 13979 27447  7377 34643  4191 16926 12942 28955
 10434 36413  8487 40090 16941 36689 16606   706  9574 12820 27596 37284
  1363 38871 38939 19090 14190   784 35430 42035 13707  6655 27897 16118
 20422 38976 13708 40969   231  8007 17187  1554 21506  8155 22347 40395
  8943 42089  8525 14536 29189 18481 28867 32842 21265 31941 25186 14492
 25264 33644 16326 27999  4986 26324  7876  7530  8532 14230  6711 30788
 19802 30085 23507 41045 23832 13597 14084 29169  4851 39475 25860 23968
 35603 37718 24947 11280  9628 14985   291 41526 37752 23867  7587  7945
 22392 19547 21114 37209]"
23293,"[31432 34338 25194 19204 13979 27447 28955  4191 12942 37284  7377 36413
  8487 16606 19090 34643   706  1363 14190 16941 42035 14230 13707 40090
  7530  9574 40969 27596   291 10434 13708 14985 25186 41045 42089 35603
 27897 14492 38939 36689 17187 14536 18481  1554  7876  8155 16118 16926
 11280 39475 27999 41526 38871  8943 38976 30788   231  8525 26324 39609
 23832 12819 31941 21506 30116  6655 32842 13597  5553   784 29189  4986
 19353  2592 24115  4851  4886 35072  8532 30085  8007 31128 26625 13144
 28867 29169 33644 35430 12820 40884 33313 34759 15910 22347 35358 37752
 14824 20422 21418 37770]"
13930,"[34338 31432 25194 13979 19204  7377 12942 27447   706 28955 42035 36689
   231 16926 27999 33644 34643 40090 21265  8487 13708  9628   784 38871
 27897 16326 24947 12820 25264 10434 27596  7876  4191 38976 19090 22347
 13707 37284 16606 14190  8197 11280 38600 16941 41045 25860 36413 40969
 35430 23507  7945 32842  8007 40884 29189 11750 36867 10810 37752 27761
  5106 24295 33008 26625 31941 23867 18589 26324 28867 42089 20422  9574
 30788  8155 13144 21114  7977 16118  6056 29169 22409 21506 29197  8943
 33642 28586 33299 41299  1363  7587 15430 14084 36370 12819  6655 37718
 21011 36958 33730 30028]"
9092,"[34338 31432 25194 19204 13979  7377 12942  4191 28955 34643 27447  8487
 16926 14190 10434 19090   706 16941 40090 27596 16606 36689 38871  1363
 13707 27999 38939 27897 37284 36413   231 12820 38976 21506  6655  8007
  8155 13708 42035 40969  9574 42089 17187  1554 14230 41045   784 30788
  7530 35430 11280 25264 16118 29169 31941  7876  8943 20422 16326 14536
 14492 33644 29189  9628  8532 14084  8525 22347 23832 21011  7587 13144
 40395 22409   291 23867 35072 35603 13597 41526 26324  4986 37752 39475
 25186 28867 18481  4851  6711 19802 33008 15910 37718 10121 35358 38600
 14985 26625 17715 22251]"
20716,"[31432 34338 25194 12942 13979 28955 19204 27447   706  7377 37284 42035
  4191 36413 40090 13708 16606 14985 36689 21265 40969   231 27897 41045
 38976 42089  7530 13707  1363 33644 22347  9574 14492 14230 18589 24115
  8197 17187 16941   784 40884 16326 33008 26324 34643 35603 26625 32842
  7876 12819 16118 38871  2568 30116 31941 32102  7945 33642 27999  8487
 11280 13597 21114 37752 37770 30085 41299 41034  1738 38600 27761 23968
 24295 33730   494  5553 21059  2592 10434 16746  6056     0 28620 28069
 18481 21418 39609 29169 13144 41526 23867 14536 19353 41739 34759 22251
 35430 31605  8943 23676]"
